[CLEARTEXTURES]
22	
[CLEARSPRITES]
108
109
[CLEARANIMATIONS]
78
[CLEARANIMATIONSETS]
22

# Id	FilePath			R	G	B
[TEXTURES]
4	Resources/Weapons/Boomerang.png	255	0	255
5	Resources/Weapons/Axe.png	255	0	255
6	Resources/Weapons/WaterPotion.png	255	0	255
-10	Resources/Weapons/Pokeball.png	116	116	116

21	Resources/Objects/Ground.png	255	0	255
23	Resources/Objects/Candle.png	255	0	255
24	Resources/Objects/MovingPlatform.png	116	116	116
25	Resources/Objects/Stair.png	255	0	255

40	Resources/Items/SmallHeart.png	255	0	255
42	Resources/Items/YummiChickenLeg.png	255	0	255
43	Resources/Items/MoneyBags.png	255	0	255
48	Resources/Items/CrystalBall.png	255	0	255
49	Resources/Items/InviPotion.png	255	0	255
51	Resources/Items/StopWatch.png	255	0	255
52	Resources/Items/Cross.png	255	0	255
53	Resources/Items/Crown.png	255	0	255
54	Resources/Items/ExtraShot.png	255	0	255
55	Resources/Items/Boomerang.png	255	0	255
56	Resources/Items/Axe.png	255	0	255
57	Resources/Items/WaterPotion.png	255	0	255
-9	Resources/Items/Pokeball.png	116	116	116

72	Resources/Effects/BrickExplode.png	255	0	255
73	Resources/Effects/Score.png	255	0	255

82	Resources/Enemies/DarkenBat.png	255	0	255
83	Resources/Enemies/Knight.png	116	116	116

# id	left	top	right	bottom	texture_id
[SPRITES]
# Boomerang
147	0	0	30	28	55

# ItemAxe
148	0	0	30	28	56

# ItemWaterPotion
149	0	0	32	32	57

# BrickExplodeEff
166	0	0	18	23	72
167	18	0	36	23	72

# ScoreEff
168	0	0	38	18	73
169	38	0	76	18	73
170	76	0	114	18	73
171	114	0	152	18	73
172	152	0	190	18	73
173	190	0	228	18	73
174	228	0	266	18	73
175	266	0	304	18	73

# DarkenBat
186	0	0	32	32	82
187	32	0	64	32	82
188	64	0	96	32	82
189	96	0	128	32	82

# Knight
190	0	0	32	62	83
191	32	0	64	62	83
192	64	0	96	62	83

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# Boomerang
54	63	120	64	120	65	120

# Axe
55	66	120	67	120	68	120	69	120

# WaterPotion
56	70	100
57	71	120	72	120	73	120

# Pokeball
450	450	100	451	100	452	100	453	100	454	100	455	100	456	100	457	100	458	100	459	100	460	100
451	460	100

# Item Pokeball
452	461	100

# BreakableBrick
74	104	100
75	105	100
76	106	100
77	107	100

# Candle
79	110	120	111	120

# MF
80	112	100

# Stairs
81	113	100
82	114	100

# Small Heart
100	130	100

# Chicken
102	132	100

# MoneyBags
103	133	100
104	134	100
105	135	100

# CrystalBall
107	137	120	138	120

# InviPot
108	139	100

# StopWatch
110	141	100

# Cross
111	142	100

# Crown
112	143	120	144	120

# ItemExtraShot
113	145	120
114	146	120

# ItemBoomerang
115	147	100

# ItemAxe
116	148	100

# ItemWaterPotion
117	149	100

# BrickExplode
132	166	120	167	50

# ScoreEff
133	168	600	169	600
134	170	600	171	600
135	172	600	173	600
136	174	600	175	600

# DarkenBat
153	186	100
154	187	120	188	120	189	120

# Knight
155	190	150	191	150	192	150

#
# id	ani1	ani2	ani3
# id tuan theo define
[ANIMATION_SETS]
# Boomerang
4	54

# Axe
5	55

# WaterPotion
6	56	57

# Pokeball
-10	450	451

# Item Pokeball
-9	452

# BreakableBrick
21	74	75	76	77

# Candle
23	79

# MF
24	80

# Stairs
25	81	82

# SmallHeart
40	100

# Chicken
42	102

# MoneyBags
43	103	104	105

# CrystalBall
48	107

# InviPot
49	108

# StopWatch
51	110

# Cross
52	111

# Crown
53	112

# ItemExtraShot
54	113	114

# ItemBoomerang
55	115

# ItemAxe
56	116

# ItemWaterPotion
57	117

# BrickExplode
72	132

# AddScore
73	133	134	135	136

# DarkenBat
82	153	154

# Knight
83	155

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 1 = Brick, 2 = Torch, 3 = Gate, 4 = Stairs, 5 = DarkenBat, 6 = Knight, 
# 7 = BreakableBrick, 8 = Candle

#DarkenBat
5	112	110	1	0	0

#Knight
6	285	185	-1	1000	1	0

#BreakableBrick
7	464	281	3	1	1
7	496	281	3	1	1

#Candle
8	160	329	100	0	1
8	416	329	100	1	1
8	288	120	100	1	0

#Stairs
4	244	409	1	0
4	276	377	1	0
4	308	345	1	0
4	340	313	1	0
#
4	176	217	1	0
4	208	185	1	0
4	240	153	1	0
4	272	121	1	0
4	304	89	1	0

#Gate
3	336	24	3	828	369	12	0	1	0

#Brick
1	16	441	3	0	1
1	48	441	3	0	1
1	80	441	3	0	1
1	112	441	3	0	1
1	144	441	3	0	1
1	176	441	3	0	1
1	208	441	3	0	1
1	240	441	3	0	1
1	272	441	3	1	1
1	304	441	3	1	1
1	336	441	3	1	1
1	368	441	3	1	1
1	400	441	3	1	1
1	432	441	3	1	1
1	464	441	3	1	1
1	496	441	3	1	1

1	496	409	3	1	1
1	496	377	3	1	1
1	496	345	3	1	1
1	496	313	3	1	1

1	496	249	3	1	1
1	496	217	3	1	0
1	496	185	3	1	0
1	496	153	3	1	0
1	496	121	3	1	0
1	496	89	3	1	0

1	464	409	3	1	1
1	464	377	3	1	1
1	464	345	3	1	1
1	464	313	3	1	1

1	464	249	3	1	1
1	464	217	3	1	0
1	464	185	3	1	0
1	464	153	3	1	0
1	464	121	3	1	0
1	464	89	3	1	0

1	432	313	3	1	1
1	400	313	3	1	1
1	368	313	3	1	1
1	48	313	3	0	1
1	16	313	3	0	1
				0	0
1	48	281	3	0	1
1	16	281	3	0	1

1	48	249	3	0	1
1	16	249	3	0	1
1	80	249	3	0	1
1	112	249	3	0	1
1	144	249	3	0	1
1	176	249	3	0	1
1	208	249	3	0	1
1	240	249	3	0	1
1	272	249	3	1	1
1	304	249	3	1	1

1	48	217	3	0	0
1	16	217	3	0	0
				0	0
1	16	185	3	0	0
1	16	153	3	0	0
1	16	121	3	0	0
1	16	89	3	0	0


#idStage -- mapFilePath -- RowMap -- ColumnMap -- tilesetFilePath -- RowTileset -- ColumnTileset
[TILEMAP]
1000	Resources/TileMap/TilesetStage2_1Text.txt	12	17	Resources/TileMap/TilesetStage2.png	4	7	262
